Syntax,Description,L1_Language,L2_Category,Priority,Example,Note
x = 10,Variable assignment,PYTHON,Variables,Core,name = "Alice",Use descriptive names; avoid single letters except loops
a; b; c = 1; 2; 3,Multiple assignment unpacking,PYTHON,Variables,Core,"x, y = 1, 2",Great for swapping values or unpacking function returns
int(); float(); str(),Type conversion functions,PYTHON,Data Types,Core,int("42"),Always validate input before converting to avoid errors
True / False / None,Boolean and null values,PYTHON,Data Types,Core,is_valid = True,Use None for optional values; check with 'is None'
list,Mutable ordered collection,PYTHON,Collections,Core,lst = [1; 2; 3],Default choice for ordered data; use for iteration
dict,Key-value pair mapping,PYTHON,Collections,Core,d = {"key": "value"},O(1) lookup; use for fast key-based access
tuple,Immutable ordered collection,PYTHON,Collections,Core,tup = (1; 2; 3),Use for fixed data or dict keys; lighter than list
set,Unordered unique elements,PYTHON,Collections,Advanced,s = {1; 2; 3},Use for deduplication and fast membership tests
if / elif / else,Conditional branching,PYTHON,Control Flow,Core,if x > 0: pass,Keep conditions simple; extract complex logic to functions
for item in iterable:,Iterate over collection,PYTHON,Control Flow,Core,for i in range(5):,Prefer for over while when iteration count is known
while condition:,Loop while true,PYTHON,Control Flow,Core,while x > 0:,Use when loop count unknown; ensure exit condition
break / continue,Loop control statements,PYTHON,Control Flow,Core,break,Use sparingly; often cleaner to restructure loop
def func():,Function definition,PYTHON,Functions,Core,def greet(name):,Keep functions small and single-purpose
return value,Return from function,PYTHON,Functions,Core,return x * 2,Return early to reduce nesting; avoid multiple returns
lambda x: expr,Anonymous inline function,PYTHON,Functions,Core,lambda x: x * 2,Use for simple one-liners; prefer def for complex logic
*args / **kwargs,Variable arguments,PYTHON,Functions,Advanced,"def f(*args, **kwargs):",Use for flexible APIs and decorator patterns
try / except / finally,Exception handling block,PYTHON,Error Handling,Core,try: ... except Exception:,Catch specific exceptions; avoid bare except
raise Exception(),Raise an exception,PYTHON,Error Handling,Core,raise ValueError("msg"),Include descriptive message; re-raise with 'raise' alone
with open() as f:,Context manager for files,PYTHON,I/O,Core,with open("f.txt") as f:,Always use with for files to ensure proper cleanup
f.read() / f.write(),File read and write,PYTHON,I/O,Core,content = f.read(),Use readlines() for large files to avoid memory issues
class ClassName:,Class definition,PYTHON,OOP,Core,class Person:,Use classes for stateful objects; functions for stateless
def __init__(self):,Constructor method,PYTHON,OOP,Core,def __init__(self; name):,Initialize all instance attributes here
self.attribute,Instance attribute access,PYTHON,OOP,Core,self.name = name,Prefix private attributes with underscore
@property,Property decorator,PYTHON,OOP,Advanced,@property def name(self):,Use for computed attributes or validation on access
